app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
703080,0,0,11/16/2022,,8.1,11530062,214
294100,0,0,12-10-2022,1,176.9,11584159,215
1527950,0,0,12-10-2021,1,117.3,11618879,216
431960,0,0,07-01-2019,1,18,11632090,217
1794680,0,0,11/23/2022,1,29.8,11647534,218
730,2,0,01-10-2018,1,708.6,11902299,219
221680,0,0,11/18/2022,1,103.6,11909571,220
216150,0,0,11/25/2012,1,88.5,11960888,221
294100,2,3,6/25/2017,1,45,11964986,222
264710,2,0,2/14/2018,1,123.6,12035356,223
255710,0,0,04-06-2022,1,257.9,12056866,224
1361210,18,0,11/30/2022,,165.5,12104501,225
975370,0,0,12/22/2022,1,24.3,12159611,226
394360,0,0,8/13/2022,1,179.7,12241689,227
1151340,0,0,5/18/2020,1,252.7,12363223,228
1250410,0,0,8/18/2020,1,128.1,12446603,229
244850,0,0,11/21/2019,1,8.2,12691232,230
976730,0,0,12/21/2019,1,167.9,12696826,231
252490,0,0,09-10-2021,1,151.8,12977263,232
1245620,0,0,3/27/2022,1,160.9,13137248,233
1091500,2,0,12-10-2020,1,77.3,13277174,234
236390,0,0,4/17/2017,1,10.5,13489665,235
1091500,0,0,10/13/2022,1,46.3,13511263,236
613100,0,0,1/16/2020,1,14.5,13774658,237
236390,0,0,07-07-2016,1,3.4,13879825,238
1172620,0,0,5/15/2021,1,27.5,13907387,239
292030,0,0,5/13/2020,1,145.2,1373201,240
1919590,0,0,11/29/2022,1,49.7,1467696,241
489830,2,0,11/25/2020,1,307.6,1476855,242
570,2,0,2/13/2014,1,214.6,1538540,243
1172620,0,0,12/30/2021,1,385.7,1586796,244
4000,0,0,11/27/2020,1,322.8,1702828,245
377160,0,0,7/30/2021,1,204.3,1911241,246
570,2,0,8/15/2014,1,597.3,1985629,247
47890,3,0,7/26/2014,1,11,2144377,248
730,0,0,11/24/2022,1,22.7,2203379,249
1551360,2,0,12-12-2021,1,30.3,2673234,250
252490,0,0,6/28/2022,1,496.8,2891263,251
394360,0,0,12/27/2020,1,260.8,3050086,252
1419170,0,0,8/13/2021,1,0.4,3305939,253
377160,0,0,04-07-2019,,422.6,3441151,254
431960,0,0,7/23/2022,1,10.1,3462753,255
582660,0,0,11/13/2021,1,38.8,3576694,256
238960,0,0,06-12-2022,1,74.6,4014219,257
239030,0,0,2/25/2022,1,17.5,4037723,258
1085660,0,0,5/27/2020,1,593.6,4151435,259
632360,0,0,4/15/2021,1,60.8,4275011,260
250900,0,0,12/18/2019,1,530.2,4360240,261
526870,4,0,9/19/2022,,356,4592257,262
289070,0,0,8/14/2021,,6.1,4836830,263
252490,0,0,1/19/2014,1,535.9,5061666,264
1091500,0,0,1/20/2021,1,25.5,5289884,265
244850,0,0,08-09-2021,1,16.4,5414956,266
346110,7,0,2/28/2021,,116.9,5677609,267
239030,2,0,01-08-2019,1,34.4,5755947,268
270880,7,0,8/16/2017,1,165.9,5772308,269
250900,0,0,3/28/2021,1,594.3,5884941,270
304390,0,0,11-05-2019,1,140.1,5915325,271
230410,0,0,12/22/2015,1,813.1,6132431,272
346110,0,0,04-11-2020,,566.3,6285113,273
381210,0,2,6/25/2021,1,860.6,6423502,274
250900,0,0,6/30/2019,1,127.7,6462948,275
261550,0,0,11-02-2022,1,65.1,6479577,276
1172470,0,0,11/27/2020,1,655.9,6641409,277
292030,0,3,06-11-2019,1,297.1,6728360,278
1174180,0,0,11/26/2020,1,64,6908000,279
620980,0,0,1/19/2021,1,13.1,6921780,280
289070,2,0,12/24/2016,,234.6,7059573,281
271590,0,0,11/27/2022,1,553.1,7163241,282
377160,0,0,05-08-2018,1,200.7,7222128,283
440900,0,0,07-01-2020,1,269.9,7291153,284
578080,0,0,7/18/2021,1,696,7467278,285
306130,0,0,12/28/2020,1,174.3,7651417,286
815370,0,0,6/25/2020,1,28.4,7721484,287
1151340,0,0,11/25/2020,1,427.8,7941155,288
552990,0,0,02-03-2019,1,484.5,8042412,289
236390,0,0,1/23/2022,,460.5,8080349,290
291550,0,0,10/30/2020,,416.4,8117736,291
381210,0,0,08-09-2021,1,831.2,8122197,292
1174180,0,0,7/25/2021,1,0.3,8144188,293
578080,0,0,5/23/2018,1,14.1,8160426,294
1085660,0,0,12-01-2019,1,111.4,8243048,295
1085660,0,0,01-04-2021,1,373.4,8558109,296
1172620,0,0,7/21/2022,1,16.3,8742976,297
376210,0,0,07-03-2022,1,5.8,8754226,298
271590,0,0,12/25/2021,1,101.2,8967751,299
431960,0,0,1/25/2022,1,166.5,9269740,300
1599340,0,0,2/17/2022,1,97.9,9323240,301
552990,0,0,3/14/2020,1,27.4,9369585,302
236390,2,0,12/14/2022,,88.5,9392041,303
431960,0,0,09-07-2021,1,54.9,9417270,304
438100,0,0,7/29/2022,,6.3,9838791,305
304390,0,0,02-03-2021,1,265.8,9908214,306
1259420,3,0,12/27/2021,1,45.6,10031559,307
275850,0,0,11-01-2019,1,154.7,10130598,308
431960,0,0,08-07-2020,1,78,10311988,309
518790,0,0,11/27/2017,1,6.2,10554160,310
107410,0,0,9/14/2017,1,293,10608186,311
261550,0,0,11/25/2020,1,177.6,10623024,312
1361210,0,0,11/24/2022,1,66.7,10869992,313
546560,0,0,12/25/2021,1,20.4,10902919,314
42700,0,0,10-02-2011,1,132.4,11130932,315
975370,3,0,12-07-2022,1,177,11202425,316
546560,0,0,3/23/2020,1,8.2,11401360,317
1245620,0,0,03-06-2022,1,133.2,11414239,318
1085660,0,0,2/18/2020,1,414.3,11433114,319
275850,0,0,12/13/2019,1,133.5,11462861,320
275850,0,0,6/22/2021,1,247.2,11521545,321
570,3,0,11/25/2013,1,513.5,11564023,322
578080,2,0,7/27/2017,,211.5,11634715,323
394360,0,0,02-03-2021,1,163.3,11666722,324
440900,0,0,07-01-2019,1,829.3,11675920,325
