user_id,products,reviews
11399650,389,2
11402551,444,137
11416166,608,2
11418511,126,1
11418603,23,2
11418734,76,1
11422775,203,8
11425456,153,2
11440751,409,6
11441139,290,3
11443398,87,1
11444445,471,2
11471267,812,2
11475408,50,5
11481263,194,7
11486279,83,5
11487247,419,4
11487323,169,1
11491411,256,8
11493341,52,1
11499279,113,6
11499671,296,2
11511858,247,3
11511935,132,2
11512208,591,5
11514155,315,1
11519364,77,1
11526370,37,1
11527488,182,1
11532644,67,1
11533457,498,1
11533704,68,1
11535389,18,1
11535715,371,1
11540818,94,1
11541136,13,1
11544794,327,9
11550992,222,2
11554806,75,0
11556916,157,3
11558193,92,1
11559919,349,1
11562814,4344,27
11565424,341,2
11568259,332,19
11569113,244,1
11573689,250,1
11582198,38,1
11591233,1458,8
11592363,623,4
11603044,367,2
11608473,42,1
11609334,3166,71
11610251,689,1
11611307,235,10
11611451,94,1
11614677,148,3
11619320,118,1
11628889,27,1
11632041,228,1
11634562,304,2
11649917,373,5
11660120,147,1
11680290,752,3
11681800,77,0
11696667,256,6
11701600,94,1
11702686,131,4
11708173,443,24
11709134,22,2
11721557,99,1
11733060,477,4
11737217,208,2
11737667,1998,1
11740462,350,1
11745557,231,6
11746755,163,3
11747291,294,3
11749819,165,2
11752751,246,2
11753573,502,2
11759052,979,6
11780789,125,5
11781682,101,2
11786832,609,3
11787121,297,2
11791093,40,2
11793824,366,5
11796169,744,4
11799092,1577,3
11799340,57,1
11800724,91,1
11803194,85,1
11809346,949,15
11810107,38,2
11815099,108,1
11819633,72,1
11824223,455,2
11824272,132,1
11824720,421,6
11825558,69,2
11825596,77,1
11826070,589,4
11832464,287,71
11835244,187,1
11840521,344,1
11841329,226,1
11842084,258,1
11846952,99,1
11849150,28,2
11851407,109,5
11851799,379,1
11856714,118,1
11857034,39,1
11861294,1465,5
11862063,4,1
11866156,26,1
11867878,51,2
11867914,131,1
11871499,423,2
11871691,1744,6
11875412,530,1
11883273,861,26
11887918,312,1
11894423,78,2
11896374,217,1
11899048,655,11
11904122,580,2
11905702,29,3
11909448,374,3
11919831,1138,4
11925638,166,3
11927246,361,1
11937625,1068,20
11938085,91,2
11939952,129,2
11945129,99,1
11952181,201,6
11964048,473,2
11964288,925,1
11974802,75,1
11993643,16,1
11996492,520,9
11996902,41,1
11997486,98,2
11999518,208,2
12021332,442,4
12027430,447,2
12028611,796,3
12030852,754,52
12041395,76,5
12046793,240,1
12047139,396,3
12049487,256,1
12054506,571,2
12064423,206,1
12065701,211,1
12072787,26,5
12074087,85,1
12077542,305,4
12090786,184,1
12092130,730,1
12124263,68,9
12124455,481,1
12137745,265,1
12139028,167,0
12140612,75,1
12144287,1004,1
12148028,206,10
12150570,67,2
12151876,98,1
12152421,31,1
12153034,721,9
12154804,256,1
12157483,211,3
12161698,361,1
12167805,55,1
12168660,121,1
12168709,222,4
12171971,5,1
12172382,539,2
12173378,201,1
12173715,317,7
12175170,237,12
12176684,81,1
12177149,310,1
12179963,64,1
12182739,108,1
12184281,20,1
12190035,335,2
12199368,266,1
12200713,213,2
12200754,610,38
12203259,88,2
12210630,511,9
12257583,51,1
12258271,125,1
12265781,109,1
12296319,218,1
12325081,236,18
12391084,879,2
12394476,109,1
12423496,216,1
12448469,148,1
12504724,457,1
12548858,117,5
12560837,12,1
12575911,194,9
12647053,290,1
12656093,376,1
12660053,131,2
12686248,257,1
12701754,382,1
12716465,1014,4
12738231,347,2
12762116,304,4
12780625,516,1
12794360,258,2
12806786,789,5
12827413,82,1
12832341,244,0
12890778,257,13
12909438,159,1
12913886,61,1
12976691,41,3
12980521,218,3
13002652,34,1
13057770,93,1
13102763,324,2
13106877,222,1
13116964,130,1
13128371,336,1
13130665,74,1
13134162,1632,10
13144960,91,2
13149406,678,1
13149963,111,1
13162142,331,8
13170972,229,3
13172233,791,3
13223939,263,1
13237733,288,0
13244977,31,1
13279031,638,5
13304222,192,1
13324847,523,27
13325026,509,1
13367373,147,2
13467011,189,1
13473875,1704,10
13490618,200,2
13491235,223,2
13527339,86,1
13550932,80,2
13553848,490,1
13557207,191,3
13565119,428,2
13593605,125,2
13606324,168,1
13642822,354,3
13714894,116,1
13738304,1727,1
13785706,291,3
13789572,191,7
13823173,160,1
13834249,183,1
13840840,50,1
13862087,125,2
13866289,243,3
13870135,99,0
13897033,448,1
13899873,451,1
13904059,213,1
13913046,106,1
13913630,1353,7
13942554,202,2
13943815,29,1
13953714,207,2
13959107,419,6
13960539,450,1
13965945,58,2
13968276,243,2
13981546,29,1
13985367,278,2
14015489,405,4
14023960,242,2
14031785,106,1
14086370,3403,1
14104757,126,1
14107894,94,5
14116240,232,6
14121663,55,1
14122872,49,0
14135800,176,1
14135843,307,5
14138577,170,15
14144216,159,1
14155700,68,1
14156111,905,5
14172513,189,1
14183725,272,1
14186709,239,2
14189607,266,71
14201954,1068,1
14204828,200,2
14211563,147,4
14213981,208,2
14227852,94,1
14247033,309,1
14257088,83,1
14266386,159,1
14267972,59,3
14282732,195,1
14285174,502,1
14293415,37,1
14304888,581,6
885,189,1
2206,135,10
32020,1352,4
50405,502,97
50896,261,3
61321,118,2
69753,249,0
80255,113,1
85467,171,2
95895,268,1
101512,247,1
105200,336,2
108373,215,1
113272,31,1
113930,197,1
126293,258,3
135316,421,1
142231,115,1
146293,59,1
150641,85,1
153915,241,2
160061,264,1
161742,83,5
167270,106,2
170661,532,1
177896,346,5
191284,112,1
200875,608,2
202608,623,1
203649,855,1
207780,770,1
208955,692,1
213608,251,2
223701,1376,1
223826,618,10
228654,95,1
231703,737,2
241880,273,4
246205,814,2
246227,190,1
260874,320,7
265560,57,1
279516,327,1
285535,99,3
290271,517,3
295540,21,1
299395,355,1
314958,235,1
328024,850,1
334632,155,1
338632,661,4
341958,270,3
342524,66,1
348649,1017,2
357077,887,1
364560,175,52
371119,189,2
378427,447,3
385558,221,1
394834,123,3
403997,68,1
407546,487,8
408857,682,17
416145,238,1
419062,54,2
428396,1653,5
430443,248,1
431660,137,4
433785,374,1
440266,245,2
445975,986,8
451405,139,1
475451,1490,1
475900,627,2
477315,2198,10
489282,398,20
493209,500,5
500162,359,3
506791,278,3
508045,16,1
509986,1056,3
514335,134,1
524513,118,1
525209,24,1
528673,89,2
532945,302,1
541690,20,1
551469,275,1
552407,25,1
553821,323,1
561201,23,2
562626,276,7
565236,612,1
571838,402,6
580598,470,1
600312,316,1
601239,143,1
608264,268,1
613068,537,3
613571,1469,32
625578,142,1
626119,81,3
627528,122,4
643271,1468,1
650940,371,1
651122,461,3
654613,29,1
657667,81,1
671111,508,4
679882,3596,1
692597,10113,4
695192,627,10
697918,64,1
700294,5357,4
700885,373,6
702303,240,3
703749,55,4
708670,111,2
713175,64,1
721578,311,1
721679,77,1
726498,599,2
735468,118,1
760649,208,1
761239,1173,6
761592,302,1
763167,241,6
763518,195,1
774251,244,4
792791,478,1
795040,249,1
796629,106,8
798911,454,0
804302,538,17
817823,115,1
818056,334,3
822350,735,1
827012,226,4
834631,163,2
842246,282,2
842895,477,2
873847,180,3
881745,144,3
882359,496,1
914274,57,1
930802,88,4
933639,62,5
943216,85,2
957872,187,37
962662,1328,5
966743,1061,8
979214,43,1
981763,88,15
984218,259,1
987732,157,1
989978,23,1
991632,289,1
1003217,354,7
1010350,686,2
1016843,120,1
1017668,448,2
1019810,3137,23
1026640,676,1
1035105,136,3
1037390,396,1
1042128,476,4
1055146,225,8
1058244,53,2
1066312,276,2
1070684,42,1
1073433,503,2
1075277,184,3
1085234,81,1
1085248,628,4
1086823,505,4
1102215,285,1
1125937,86,2
1135520,68,2
1138114,285,2
1141699,374,14
1146677,83,1
1151937,158,5
1153241,288,1
1153262,104,1
1166705,30,1
1189811,563,3
1211168,61,4
1217171,363,2
1232262,146,1
1239121,999,26
1254289,73,3
1275214,210,1
1286224,123,1
1293328,944,3
1294381,37,1
1294517,161,1
1300266,88,4
1301587,129,3
1301727,3316,16
1309367,1068,5
1311621,225,2
